Rownumber	Review	Liked
2	Wow... Loved this place.	1
3	Crust is not good.	0
4	Not tasty and the texture was just nasty.	0
5	Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.	1
6	The selection on the menu was great and so were the prices.	1
7	Now I am getting angry and I want my damn pho.	0
8	Honeslty it didn't taste THAT fresh.)	0
9	The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.	0
10	The fries were great too.	1
11	A great touch.	1
12	Service was very prompt.	1
13	Would not go back.	0
14	The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.	0
15	I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!	1
16	I was disgusted because I was pretty sure that was human hair.	0
17	I was shocked because no signs indicate cash only.	0
18	Highly recommended.	1
19	Waitress was a little slow in service.	0
20	This place is not worth your time, let alone Vegas.	0
21	did not like at all.	0
22	The Burrittos Blah!	0
23	The food, amazing.	1
24	Service is also cute.	1
25	I could care less... The interior is just beautiful.	1
26	So they performed.	1
27	That's right....the red velvet cake.....ohhh this stuff is so good.	1
28	- They never brought a salad we asked for.	0
29	This hole in the wall has great Mexican street tacos, and friendly staff.	1
30	Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.	0
31	The worst was the salmon sashimi.	0
32	Also there are combos like a burger, fries, and beer for 23 which is a decent deal.	1
33	This was like the final blow!	0
34	I found this place by accident and I could not be happier.	1
35	seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.	0
36	Overall, I like this place a lot.	1
37	The only redeeming quality of the restaurant was that it was very inexpensive.	1
38	Ample portions and good prices.	1
39	Poor service, the waiter made me feel like I was stupid every time he came to the table.	0
40	My first visit to Hiro was a delight!	1
41	Service sucks.	0
42	The shrimp tender and moist.	1
43	There is not a deal good enough that would drag me into that establishment again.	0
44	Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.	0
45	On a positive note, our server was very attentive and provided great service.	1
46	Frozen pucks of disgust, with some of the worst people behind the register.	0
47	The only thing I did like was the prime rib and dessert section.	1
48	It's too bad the food is so damn generic.	0
49	The burger is good beef, cooked just right.	1
50	If you want a sandwich just go to any Firehouse!!!!!	1
51	My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.	1
52	We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.	1
53	He came running after us when he realized my husband had left his sunglasses on the table.	1
54	Their chow mein is so good!	1
55	They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.	0
56	The portion was huge!	1
57	Loved it...friendly servers, great food, wonderful and imaginative menu.	1
58	The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.	0
59	Not much seafood and like 5 strings of pasta at the bottom.	0
60	The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.	1
61	The ripped banana was not only ripped, but petrified and tasteless.	0
62	At least think to refill my water before I struggle to wave you over for 10 minutes.	0
63	This place receives stars for their APPETIZERS!!!	1
64	The cocktails are all handmade and delicious.	1
65	We'd definitely go back here again.	1
66	We are so glad we found this place.	1
67	Great food and service, huge portions and they give a military discount.	1
68	Always a great time at Dos Gringos!	1
69	Update.....went back for a second time and it was still just as amazing	1
70	We got the food and apparently they have never heard of salt and the batter on the fish was chewy.	0
71	A great way to finish a great.	1
72	The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.	1
73	- Really, really good rice, all the time.	1
74	The service was meh.	0
75	It took over 30 min to get their milkshake, which was nothing more than chocolate milk.	0
76	I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.	0
77	The scallop dish is quite appalling for value as well.	0
78	2 times - Very Bad Customer Service !	0
79	The sweet potato fries were very good and seasoned well.	1
80	Today is the second time I've been to their lunch buffet and it was pretty good.	1
81	There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.	0
82	Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.	0
83	walked in and the place smelled like an old grease trap and only 2 others there eating.	0
84	The turkey and roast beef were bland.	0
85	This place has it!	1
86	The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.	0
87	I love the Pho and the spring rolls oh so yummy you have to try.	1
88	The poor batter to meat ratio made the chicken tenders very unsatisfying.	0
89	All I have to say is the food was amazing!!!	1
90	Omelets are to die for!	1
91	Everything was fresh and delicious!	1
92	In summary, this was a largely disappointing dining experience.	0
93	It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.	1
94	Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!	0
95	Best breakfast buffet!!!	1
96	say bye bye to your tip lady!	0
97	We'll never go again.	0
98	Will be back again!	1
99	Food arrived quickly!	1
100	It was not good.	0
101	On the up side, their cafe serves really good food.	1
102	Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!	1
103	The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.	1
104	Best Buffet in town, for the price you cannot beat it.	1
105	I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.	1
106	This is one of the better buffets that I have been to.	1
107	So we went to Tigerlilly and had a fantastic afternoon!	1
108	The food was delicious, our bartender was attentive and personable AND we got a great deal!	1
109	The ambience is wonderful and there is music playing.	1
110	Will go back next trip out.	1
111	Sooooo good!!	1
112	REAL sushi lovers, let's be honest - Yama is not that good.	0
113	At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.	0
114	This is a really fantastic Thai restaurant which is definitely worth a visit.	1
115	Nice, spicy and tender.	1
116	Good prices.	1
117	Check it out.	1
118	It was pretty gross!	0
119	I've had better atmosphere.	0
120	Kind of hard to mess up a steak but they did.	0
121	Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.	0
122	I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.	0
123	Worst service to boot, but that is the least of their worries.	0
